Option,Jeb Bush,Ben Carson,Chris Christie,Hillary Clinton,Ted Cruz,Carly Fiorina,Martin O'Malley,Rand Paul,Marco Rubio,Bernie Sanders,Donald Trump,Other,I am unsure,I am uninterested in voting or ineligible to vote
Very satisfied,1,0,0,7,0,1,0,0,0,8,0,2,6,2
Somewhat satisfied,0,0,0,23,0,0,1,0,2,35,0,1,15,7
No opinion,4,6,3,71,1,0,1,0,4,146,1,2,54,26
Somewhat dissatisfied,1,3,0,14,0,1,0,1,2,35,0,1,12,2
Very dissatisfied,3,0,1,11,0,0,1,0,0,16,2,0,6,1
I am not considering applying to law or medical school,1,3,2,78,0,1,4,3,6,166,9,0,45,39
