Option,Jeb Bush,Ben Carson,Chris Christie,Hillary Clinton,Ted Cruz,Carly Fiorina,Martin O'Malley,Rand Paul,Marco Rubio,Bernie Sanders,Donald Trump,Other,I am unsure,I am uninterested in voting or ineligible to vote
Very satisfied,0,1,0,18,1,1,0,2,3,41,0,0,7,7
Somewhat satisfied,5,6,1,95,0,1,3,1,6,162,5,2,67,23
No opinion,1,1,0,15,0,0,2,1,1,26,1,0,9,14
Somewhat dissatisfied,1,3,3,48,0,1,1,0,4,129,3,2,40,24
Very dissatisfied,3,1,2,24,0,0,1,0,0,39,2,2,11,8
Not familiar enough,0,0,0,3,0,0,0,0,0,8,1,0,5,1
